"","Farmer_ID","Districts","Paddy_harvesting_date","Wheat_sowing_date","Drought_faced","days_between"
"1",29315970671,"Lakhisarai",2022-12-14,2022-12-10,1,-4
"2",79006018250,"Lakhisarai",2022-11-18,2022-12-04,1,16
"3",99905213548,"Lakhisarai",2022-11-10,2022-11-30,1,20
"4",107250153441,"Lakhisarai",2022-12-09,2023-01-04,1,26
"5",118340237781,"Lakhisarai",2022-12-04,2022-12-29,1,25
"6",136204323990,"Lakhisarai",2022-12-07,2022-12-20,1,13
"7",147361054929,"Lakhisarai",2022-12-06,2022-12-22,1,16
"8",156207658773,"Lakhisarai",2023-01-02,2023-01-10,1,8
"9",178862856278,"Lakhisarai",2022-12-11,2022-12-21,1,10
"10",238294223698,"Lakhisarai",2022-11-13,2022-12-06,1,23
"11",257250490539,"Lakhisarai",2022-11-04,2022-12-24,1,50
"12",269162570299,"Lakhisarai",2022-12-17,2022-12-20,1,3
"13",288877265066,"Lakhisarai",2022-11-25,2022-12-22,1,27
"14",306207317764,"Lakhisarai",2022-11-21,2022-12-05,1,14
"15",359693753316,"Lakhisarai",2022-12-06,2022-12-01,1,-5
"16",386200823908,"Buxar",2022-12-09,2022-12-17,1,8
"17",399504620507,"Gaya",2022-11-11,2022-12-31,1,50
"18",409955813114,"Gaya",2022-11-18,2022-11-29,1,11
"19",419128669192,"Gaya",2022-11-07,2022-11-17,1,10
"20",429771252279,"Gaya",2022-12-17,2022-12-27,1,10
"21",449097273145,"Buxar",2022-12-15,2022-12-19,1,4
"22",459939910503,"Buxar",2022-12-03,2022-12-13,1,10
"23",467667691272,"Buxar",2022-12-10,2022-12-16,1,6
"24",499199456288,"Buxar",2022-12-11,2022-12-25,0,14
"25",518252365800,"Buxar",2022-11-21,2022-12-14,0,23
"26",529955566153,"Banka",2022-10-25,2022-11-16,1,22
"27",539905676834,"Banka",2022-10-26,2022-12-14,1,49
"28",569871602257,"Banka",2022-11-13,2022-12-30,1,47
"29",626204887132,"Banka",2022-11-03,2022-12-02,1,29
"30",676205606248,"Rohtas",2023-01-05,2023-01-11,0,6
"31",689199080876,"Rohtas",2022-12-26,2023-01-20,0,25
