"","Farmer_ID","Districts","Paddy_transplanting_date","Paddy_harvesting_date","Drought_faced","Status","days_between"
"1",16207640751,"Lakhisarai",2022-07-08,2022-12-16,1,1,161
"2",29315970671,"Lakhisarai",2022-07-10,2022-12-14,1,1,157
"3",39473021346,"Lakhisarai",2022-07-18,2022-12-17,1,1,152
"4",67903043496,"Lakhisarai",2022-08-07,2022-12-25,1,1,140
"5",79006018250,"Lakhisarai",2022-07-06,2022-11-18,1,1,135
"6",99905213548,"Lakhisarai",2022-08-11,2022-11-10,1,1,91
"7",107250153441,"Lakhisarai",2022-08-17,2022-12-09,1,1,114
"8",118340237781,"Lakhisarai",2022-08-11,2022-12-04,1,1,115
"9",136204323990,"Lakhisarai",2022-08-01,2022-12-07,1,1,128
"10",147361054929,"Lakhisarai",2022-08-10,2022-12-06,1,1,118
"11",156207658773,"Lakhisarai",2022-07-21,2023-01-02,1,1,165
"12",166206564423,"Lakhisarai",2022-07-26,2022-12-12,1,1,139
"13",178862856278,"Lakhisarai",2022-08-09,2022-12-11,1,1,124
"14",218521309913,"Lakhisarai",2022-07-23,2022-11-16,1,1,116
"15",238294223698,"Lakhisarai",2022-08-17,2022-11-13,1,1,88
"16",257250490539,"Lakhisarai",2022-08-13,2022-11-04,1,1,83
"17",269162570299,"Lakhisarai",2022-08-16,2022-12-17,1,1,123
"18",288877265066,"Lakhisarai",2022-08-01,2022-11-25,1,1,116
"19",306207317764,"Lakhisarai",2022-07-31,2022-11-21,1,1,113
"20",317366944638,"Lakhisarai",2022-08-24,2022-12-09,1,1,107
"21",359693753316,"Lakhisarai",2022-08-07,2022-12-06,1,1,121
"22",386200823908,"Buxar",2022-07-09,2022-12-09,1,1,153
"23",399504620507,"Gaya",2022-07-05,2022-11-11,1,1,129
"24",409955813114,"Gaya",2022-07-08,2022-11-18,1,1,133
"25",419128669192,"Gaya",2022-07-13,2022-11-07,1,1,117
"26",429771252279,"Gaya",2022-07-10,2022-12-17,1,1,160
"27",439939617359,"Gaya",2022-07-08,2022-12-10,1,1,155
"28",449097273145,"Buxar",2022-07-10,2022-12-15,1,1,158
"29",459939910503,"Buxar",2022-07-12,2022-12-03,1,1,144
"30",467667691272,"Buxar",2022-07-14,2022-12-10,1,1,149
"31",499199456288,"Buxar",2022-08-01,2022-12-11,0,1,132
"32",518252365800,"Buxar",2022-07-03,2022-11-21,0,1,141
"33",529955566153,"Banka",2022-08-13,2022-10-25,1,1,73
"34",539905676834,"Banka",2022-08-17,2022-10-26,1,1,70
"35",569871602257,"Banka",2022-08-16,2022-11-13,1,1,89
"36",596201094007,"Banka",2022-08-09,2022-11-27,1,1,110
"37",609631934611,"Banka",2022-08-10,2022-11-10,1,1,92
"38",626204887132,"Banka",2022-08-11,2022-11-03,1,1,84
"39",676205606248,"Rohtas",2022-07-11,2023-01-05,0,1,178
"40",689199080876,"Rohtas",2022-07-10,2022-12-26,0,1,169
"41",699798892110,"Rohtas",2022-07-13,2022-12-21,0,1,161
"42",718709646390,"Rohtas",2022-07-12,2022-12-04,0,1,145
"43",728210975023,"Rohtas",2022-07-12,2022-12-25,0,1,166
"44",739546391013,"Rohtas",2022-07-08,2022-11-04,0,1,119
"45",749199185627,"Rohtas",2022-07-11,2022-11-17,0,1,129
"46",759973197505,"Rohtas",2022-07-09,2022-12-17,0,1,161
"47",769771366096,"Rohtas",2022-07-12,2022-12-07,0,1,148
"48",779065524699,"Rohtas",2022-07-13,2022-12-03,0,1,143
"49",788521409439,"Rohtas",2022-08-02,2022-12-28,0,1,148
"50",799661223276,"Rohtas",2022-07-30,2022-11-22,0,1,115
"51",827479911021,"Rohtas",2022-07-09,2022-12-18,0,1,162
"52",839576237612,"Rohtas",2022-07-09,2022-12-21,0,1,165
"53",846204178030,"Gaya",2022-07-21,2022-11-12,1,1,114
"54",857277377238,"Gaya",2022-07-03,2022-12-06,1,1,156
"55",878084763403,"Gaya",2022-07-18,2023-01-01,1,1,167
"56",889939014482,"Gaya",2022-07-16,2022-12-09,1,1,146
"57",898757854371,"Gaya",2022-07-13,2022-12-01,1,1,141
"58",909102843386,"Gaya",2022-07-14,2022-11-09,1,1,118
"59",919771920283,"Gaya",2022-07-19,2022-12-06,1,1,140
"60",937992388795,"Buxar",2022-07-08,2022-11-30,0,1,145
"61",947764992172,"Buxar",2022-07-05,2022-11-12,0,1,130
"62",968521674081,"Buxar",2022-07-01,2022-11-28,0,1,150
"63",976207243817,"Buxar",2022-07-06,2022-12-02,0,1,149
"64",999801088398,"Vaishali",2022-07-15,2022-11-21,1,1,129
"65",1007739000861,"Buxar",2022-07-10,2022-11-27,0,1,140
"66",1027544064073,"Buxar",2022-07-30,2022-11-17,0,1,110
"67",1057484958867,"Rohtas",2022-08-02,2022-12-02,0,1,122
"68",1078292501544,"Rohtas",2022-08-03,2022-11-15,0,1,104
"69",1089939657082,"Rohtas",2022-08-07,2022-12-03,0,1,118
"70",1098002688709,"Buxar",2022-07-16,2022-12-06,0,1,143
"71",1109102791827,"Vaishali",2022-07-08,2022-10-10,1,1,94
"72",1119304130537,"Buxar",2022-07-17,2022-12-22,1,1,158
"73",1127488287803,"Buxar",2022-08-15,2022-12-02,1,1,109
"74",1137488360724,"Buxar",2022-07-17,2022-11-25,1,1,131
"75",1179955800265,"Buxar",2022-07-13,2022-12-08,0,1,148
"76",1189128317652,"Buxar",2022-07-16,2022-12-04,0,1,141
"77",1199708051210,"Buxar",2022-07-02,2022-12-16,0,1,167
"78",1207254825621,"Vaishali",2022-07-19,2022-11-08,1,1,112
"79",1219431027350,"Vaishali",2022-07-18,2022-11-27,1,1,132
"80",1226202038478,"Buxar",2022-07-09,2022-12-01,0,1,145
"81",1239973190653,"Buxar",2022-07-18,2022-11-29,0,1,134
"82",1247761908735,"Buxar",2022-07-16,2022-12-02,0,1,139
"83",1259939474529,"Buxar",2022-07-14,2022-11-13,0,1,122
"84",1277763056389,"Buxar",2022-07-10,2022-11-23,0,1,136
"85",1298271397972,"Banka",2022-08-10,2022-11-20,1,1,102
"86",1308084761941,"Banka",2022-08-07,2022-11-16,1,1,101
"87",1316204173978,"Banka",2022-08-10,2022-11-11,1,1,93
"88",1339006191042,"Banka",2022-08-03,2022-12-27,1,1,146
"89",1348102056253,"Banka",2022-08-12,2022-11-21,1,1,101
"90",1358877429324,"Banka",2022-08-02,2022-11-07,1,1,97
"91",1368252912246,"Banka",2022-08-01,2022-11-09,1,1,100
"92",1378210015813,"Banka",2022-08-19,2022-12-01,1,1,104
"93",1387217752054,"Banka",2022-08-05,2022-12-08,1,1,125
